id,miembros,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7
101,2,53,96,17,9,49,18,1,74
102,7,31,29,13,46,89,24,1,94
103,7,68,12,18,33,87,89,73,60
104,2,47,46,33,52,3,17,25,73
105,4,12,17,45,26,22,19,15,6
106,4,34,30,17,31,3,12,13,46
107,3,12,41,33,54,46,39,82,6
108,5,34,32,51,47,1,99,29,59
109,5,17,75,95,48,68,9,22,80
110,6,67,22,24,23,70,9,47,43
111,4,68,1,35,94,17,44,26,4
112,3,60,13,31,89,43,34,27,74
113,4,18,37,58,1,95,19,5,53
114,6,15,20,37,5,100,70,33,52
115,4,22,17,1,15,74,9,38,40
116,4,77,79,19,80,25,72,40,31
117,6,94,1,19,31,13,5,69,8
118,4,69,73,16,81,45,44,11,38
119,4,4,19,10,53,67,3,73,31
120,4,56,89,95,28,97,40,44,59
121,3,17,54,87,4,38,25,6,66
122,6,24,4,14,47,95,52,23,1
123,4,95,22,32,18,4,46,67,13
124,5,14,38,7,18,26,1,22,87
125,3,47,58,8,83,3,23,29,1
126,5,3,40,24,88,68,45,33,56
127,8,2,42,36,27,95,74,14,53
128,6,56,12,72,69,89,68,17,1
129,7,17,43,32,61,46,100,14,79
130,6,16,82,59,53,49,99,20,1
131,4,11,81,12,60,31,9,67,27
132,2,76,74,36,24,26,3,40,7
133,4,54,40,20,73,5,14,17,7
134,8,18,96,26,17,95,1,43,49
135,6,5,33,18,2,87,11,89,1
136,3,88,1,40,53,45,82,89,13
137,2,82,26,8,1,96,54,53,46
138,5,59,2,11,28,80,16,5,46
139,3,89,11,32,8,46,10,18,24
140,6,61,1,13,81,59,52,40,32
141,4,89,4,3,82,61,31,19,45
142,3,26,37,29,85,33,10,15,73
143,3,38,28,17,1,15,8,89,26
144,4,28,5,12,1,24,87,59,61
145,2,18,61,25,73,40,48,26,29
146,3,64,61,42,36,67,96,94,82
147,5,28,24,7,39,14,27,59,40
148,4,63,94,25,4,3,16,8,32
149,4,61,40,87,38,66,46,18,81
150,4,60,19,95,72,61,12,52,87
151,6,3,95,2,19,61,88,52,4
152,2,88,40,68,1,82,96,32,19
153,2,3,12,73,40,35,92,74,87
154,4,25,61,91,99,82,33,75,94
155,2,100,79,27,1,36,63,60,47
156,5,95,74,44,67,3,41,49,20
157,3,87,61,54,29,49,66,9,30
158,6,13,95,49,25,45,3,33,1
159,6,3,45,55,9,49,11,67,53
160,2,40,28,14,7,16,75,10,31
161,4,47,60,43,46,1,12,49,24
162,5,68,86,15,17,29,97,16,46
163,4,84,30,15,27,88,45,5,26
164,6,18,1,10,21,47,73,5,12
165,7,1,33,97,7,26,38,80,18
166,4,14,84,44,22,51,25,38,29
167,4,95,93,1,23,21,73,5,86
168,4,19,73,13,89,67,84,26,66
169,5,67,17,52,5,84,12,75,73
170,7,12,25,27,40,10,76,97,59
171,4,24,73,47,45,1,11,31,49
172,7,21,60,54,15,46,26,88,39
173,3,68,55,47,38,24,94,84,46
174,6,94,34,18,51,13,88,32,52
175,2,17,89,18,74,47,81,21,46
176,6,52,18,75,50,16,36,4,48
177,4,74,13,52,95,48,25,49,89
178,2,80,45,46,1,95,37,53,24
179,5,26,2,1,59,34,31,53,66
180,6,40,20,21,51,80,14,33,24
181,3,7,20,37,1,38,2,17,28
182,2,94,87,12,17,8,19,32,9
183,3,17,10,34,2,60,15,43,94
184,6,4,47,40,38,90,81,8,1
185,2,80,31,54,1,64,74,88,35
186,4,50,2,60,87,82,1,18,33
187,2,43,39,26,75,35,47,78,1
188,3,10,20,48,56,59,89,31,91
189,3,1,51,3,31,18,10,12,100
190,4,9,41,87,21,82,67,11,1
191,3,54,33,5,83,1,75,94,14
192,3,77,33,20,96,59,13,97,31
193,4,12,35,75,56,14,25,80,20
194,2,95,1,65,42,52,47,90,34
195,3,55,9,87,47,56,1,49,17
196,6,26,100,60,7,54,61,73,23
197,2,59,44,19,45,24,18,92,1
198,7,81,90,59,31,82,1,75,54
199,2,51,31,71,22,42,8,87,43
200,2,26,46,74,47,83,1,13,61
201,7,47,35,46,88,21,43,5,94
202,5,23,6,49,92,88,33,82,47
203,4,38,52,3,18,81,89,24,26
204,5,67,88,45,49,56,17,34,18
205,2,1,26,18,47,19,39,99,5
206,2,28,18,1,8,68,9,74,26
207,5,47,5,95,94,73,27,19,17
208,4,1,10,95,5,75,12,34,38
209,6,9,71,22,24,47,3,39,4
210,4,23,80,72,94,81,29,56,1
211,4,67,45,1,9,59,95,32,24
212,3,10,3,35,96,52,1,6,53
213,3,52,18,1,26,77,17,80,6
214,3,31,18,26,3,35,5,32,38
215,2,1,17,94,40,52,99,11,3
216,7,43,47,81,93,5,54,29,68
217,5,5,38,39,47,80,12,48,4
218,3,38,23,54,1,10,2,52,60
219,6,68,31,81,19,54,97,38,87
220,2,1,24,88,11,95,27,18,54
221,5,17,4,10,31,94,95,1,38
222,3,36,19,12,25,47,55,1,60
223,6,60,5,17,41,19,82,28,45
224,4,4,66,40,100,87,12,33,3
225,2,61,80,24,53,50,34,31,11
226,2,59,82,17,46,18,96,3,1
227,5,49,39,54,1,16,58,87,48
228,7,87,25,4,81,53,11,27,24
229,4,48,1,82,24,85,20,49,94
230,2,57,35,31,53,33,54,40,68
231,3,48,4,32,18,80,38,16,71
232,3,47,59,26,51,82,74,89,45
233,3,87,45,92,12,44,1,24,94
234,4,82,66,24,25,4,41,53,60
235,3,53,59,13,40,67,10,3,7
236,5,37,8,87,10,32,2,61,12
237,7,3,54,17,4,30,22,75,96
238,4,19,4,36,39,95,38,45,64
239,3,14,36,17,31,13,3,60,29
240,4,33,1,57,21,19,87,73,4
241,4,60,52,25,82,4,26,88,27
242,2,60,17,56,97,15,1,32,53
243,4,89,1,26,4,80,29,5,13
244,4,39,35,18,89,74,76,45,17
245,6,4,13,38,17,59,3,22,76
246,6,50,22,30,41,57,24,89,7
247,6,66,96,24,61,30,47,40,38
248,5,33,80,22,44,23,89,5,45
249,3,75,14,89,1,68,61,11,57
250,8,1,7,52,11,81,19,87,75
251,3,75,66,97,44,9,19,62,38
252,4,1,18,45,92,97,34,80,64
253,3,73,32,88,84,93,24,95,43
254,3,18,28,68,95,44,63,33,6
255,4,12,94,47,1,17,4,80,97
256,4,93,96,74,32,31,17,12,24
257,6,74,89,1,59,25,43,52,34
258,4,92,86,48,11,75,25,32,5
259,5,60,12,31,21,100,1,67,95
260,5,25,37,46,20,39,45,74,59
261,3,67,87,83,92,96,22,2,46
262,4,32,35,56,5,95,52,1,18
263,3,48,60,19,31,1,96,17,59
264,2,11,20,96,10,79,38,47,81
265,7,11,81,26,18,17,33,72,59
266,7,32,1,7,17,38,58,24,14
267,2,18,1,74,45,31,50,28,11
268,4,39,59,48,1,53,28,4,67
269,5,30,47,20,1,33,16,43,59
270,6,67,31,41,89,5,15,98,51
271,6,73,3,55,1,46,48,57,53
272,6,43,31,72,75,29,24,23,1
273,2,38,1,95,24,68,75,96,71
274,3,8,33,23,71,56,67,66,38
275,6,15,16,17,62,39,13,3,80
276,4,32,10,69,81,66,88,31,79
277,3,3,81,46,53,47,4,75,1
278,3,54,46,78,100,68,65,52,6
279,6,38,73,17,11,25,94,24,96
280,6,89,23,55,51,59,78,45,39
281,3,22,18,82,19,94,34,51,40
282,3,17,12,26,89,4,54,66,82
283,4,73,9,52,38,1,59,43,56
284,6,20,24,38,82,56,94,6,76
285,6,66,5,87,26,32,84,44,37
286,4,54,38,26,22,12,28,85,60
287,4,47,8,94,85,80,1,10,7
288,2,63,73,67,16,5,54,87,1
289,3,66,26,11,18,32,30,4,38
290,5,25,56,5,43,38,95,53,59
291,2,80,23,22,11,45,93,26,3
292,3,66,19,40,75,36,31,44,89
293,5,67,23,47,18,30,12,37,14
294,7,46,1,4,17,68,38,24,12
295,8,10,47,31,85,13,24,18,35
296,3,39,50,31,55,10,17,23,14
297,3,48,35,1,54,63,12,67,38
298,3,19,50,32,13,80,53,22,8
299,3,32,39,17,10,46,1,53,2
300,4,5,87,40,81,61,72,25,30
301,2,45,53,19,39,82,56,11,38
302,4,4,39,11,47,80,8,10,72
303,3,27,13,89,17,1,82,34,74
304,6,86,28,32,40,90,88,19,53
305,5,58,12,54,31,1,52,24,76
306,6,2,89,47,67,54,36,19,57
307,4,1,32,39,5,86,4,17,38
308,4,47,1,10,35,26,46,39,13
309,4,19,4,31,96,66,18,28,80
310,3,89,64,91,60,11,75,74,67
311,2,59,8,96,72,13,18,22,70
312,2,43,73,5,1,38,2,39,24
313,5,17,37,12,95,1,54,16,32
314,3,39,4,40,57,95,45,47,24
315,4,45,17,38,32,36,54,39,49
316,5,53,52,44,2,80,96,88,32
317,3,25,88,74,52,63,49,79,31
318,4,49,4,82,73,32,1,53,14
319,5,10,75,37,68,81,21,31,15
320,5,7,20,31,88,19,1,48,92
321,5,1,95,53,40,54,56,58,74
322,4,82,53,57,14,46,61,71,75
323,4,48,17,55,41,15,1,27,45
324,3,33,54,75,55,95,67,1,17
325,2,1,3,20,35,4,23,10,56
326,4,26,31,96,22,38,29,77,89
327,4,46,14,80,35,31,1,17,64
328,3,10,66,53,97,6,44,95,87
329,3,19,41,1,24,74,25,4,43
330,3,82,94,93,4,10,38,1,32
331,4,17,1,57,45,19,67,7,37
332,2,10,38,82,75,14,1,7,11
333,6,23,59,1,3,81,99,88,20
334,4,22,33,55,95,90,67,72,6
335,3,68,1,47,30,11,61,45,5
336,4,89,1,80,38,50,9,3,87
337,4,24,1,18,90,26,7,80,19
338,4,74,95,53,35,46,3,18,52
339,6,45,1,29,22,82,81,50,78
340,4,1,13,31,67,60,24,38,36
341,3,58,31,45,50,12,67,46,80
342,5,54,74,28,64,44,59,95,96
343,3,89,88,33,67,4,61,2,27
344,7,23,30,1,24,10,49,58,29
345,4,66,45,33,96,60,42,67,26
346,3,1,24,94,4,88,9,30,5
347,4,59,11,60,1,3,15,94,80
348,5,1,5,10,94,52,47,19,45
349,3,19,1,88,36,59,94,86,80
350,8,96,74,24,27,41,2,1,61
351,7,27,74,35,46,2,45,55,64
352,4,93,67,55,89,1,17,31,61
353,2,25,4,94,1,80,11,34,81
354,5,87,27,54,43,1,46,94,3
355,5,53,85,60,45,2,86,57,10
356,4,33,51,1,17,31,66,5,73
357,5,25,18,55,4,66,75,39,1
358,3,11,1,88,93,59,52,10,14
359,5,90,4,61,17,30,21,81,66
360,4,55,99,10,32,7,46,24,1
361,4,87,34,58,1,96,36,12,32
362,3,81,61,68,40,9,12,23,29
363,2,12,53,1,73,96,16,46,48
364,3,99,21,45,24,12,1,26,32
365,2,4,53,33,51,54,25,73,74
366,8,3,93,46,19,89,13,88,54
367,2,17,53,48,26,11,25,14,27
368,6,26,93,1,59,40,46,76,70
369,3,45,1,72,38,46,22,41,48
370,8,13,93,25,18,74,68,52,59
371,2,26,33,93,20,18,60,32,1
372,6,96,98,25,73,75,40,88,59
373,5,61,9,2,41,66,19,89,33
374,2,75,88,23,10,5,1,38,35
375,3,6,12,77,40,1,80,61,89
376,5,26,80,41,36,52,88,95,60
377,3,82,11,1,5,60,61,41,19
378,3,25,18,47,53,11,50,8,12
379,6,4,12,66,65,16,38,10,30
380,5,73,82,99,69,87,7,96,53
381,7,27,46,15,87,12,29,1,23
382,5,48,17,43,89,94,11,55,53
383,4,12,1,40,69,4,28,59,73
384,4,3,73,10,6,24,80,59,38
385,6,29,87,59,96,2,82,32,62
386,8,66,15,96,59,94,82,16,23
387,7,39,4,88,1,38,52,57,29
388,4,32,45,80,18,30,81,67,39
389,4,54,94,1,36,6,96,38,73
390,4,40,1,5,60,21,18,37,39
391,6,75,53,40,32,31,1,47,82
392,4,60,47,31,16,96,74,54,20
393,2,36,5,1,27,95,52,48,53
394,4,11,28,24,4,10,40,54,12
395,7,8,18,1,19,81,17,60,68
396,3,75,2,72,47,24,96,17,32
397,2,52,46,76,26,94,33,45,12
398,7,37,17,1,56,23,64,33,88
399,2,5,31,19,39,89,52,9,81
400,2,3,47,80,64,24,98,11,14
401,4,52,4,32,1,73,26,24,40
402,4,25,4,63,24,75,54,26,81
403,4,17,74,68,73,36,37,86,64
404,7,48,49,88,1,57,7,96,19
405,3,54,87,24,31,45,1,100,78
406,2,3,5,45,12,11,1,6,15
407,2,68,10,18,13,6,66,94,7
408,4,21,5,81,18,49,10,75,32
409,4,81,5,3,67,12,13,54,58
410,3,81,17,33,2,27,18,73,22
411,6,1,74,83,52,17,91,4,26
412,5,25,45,89,1,54,65,66,39
413,8,80,17,62,94,28,45,82,61
414,4,26,8,59,77,45,42,57,52
415,5,24,1,13,5,79,85,51,9
416,4,96,75,38,41,31,26,80,22
417,3,10,74,47,71,34,80,17,67
418,4,32,96,1,42,33,89,41,24
419,5,26,94,25,17,75,42,67,1
420,2,60,3,11,1,99,20,49,59
421,3,87,69,47,43,68,38,95,24
422,6,24,17,45,27,83,35,5,19
423,4,74,53,1,32,31,11,25,29
424,2,4,66,3,82,38,85,74,77
425,4,30,10,24,33,88,1,53,87
426,6,33,36,59,19,61,95,5,4
427,3,24,42,12,1,88,11,3,52
428,8,40,46,88,38,17,85,13,61
429,4,2,94,28,32,88,86,59,25
430,7,66,5,25,96,48,7,14,60
431,7,12,15,37,1,26,25,59,73
432,4,45,26,28,88,40,66,39,38
433,3,1,61,11,45,24,14,7,83
434,6,18,62,50,2,96,23,36,53
435,2,1,31,80,24,37,38,32,16
436,4,11,33,18,12,1,39,5,13
437,5,38,64,1,54,13,82,53,12
438,3,25,1,38,46,67,24,28,45
439,6,1,18,6,3,75,19,37,96
440,5,39,96,74,47,94,41,19,45
441,4,33,11,47,8,61,24,66,64
442,7,29,60,5,73,89,53,1,27
443,3,14,89,1,30,54,82,41,26
444,4,26,31,11,33,60,61,39,82
445,3,74,59,56,21,58,73,100,25
446,4,27,29,25,22,62,48,47,33
447,4,19,94,21,14,9,4,1,80
448,2,82,26,19,99,12,36,95,80
449,3,18,1,96,10,23,48,54,11
450,2,60,22,38,48,80,28,26,40
451,3,33,1,50,18,59,24,45,10
452,4,87,18,86,26,33,6,3,1
453,5,33,51,3,62,1,68,83,5
454,3,11,17,46,38,1,56,36,55
455,4,1,3,73,46,87,52,59,10
456,5,94,26,27,59,7,25,48,60
457,3,70,51,18,12,34,44,75,82
458,6,46,96,13,1,48,25,79,37
459,4,66,33,1,22,11,59,41,38
460,4,30,59,18,33,65,32,41,1
461,2,27,4,91,20,38,18,10,36
462,6,80,58,1,27,81,29,73,25
463,5,18,33,71,66,38,59,81,75
464,5,46,1,43,96,19,68,36,5
465,4,46,1,15,16,59,33,90,74
466,4,36,38,20,3,27,4,26,22
467,2,3,24,7,33,20,16,26,27
468,4,54,42,8,60,87,37,57,52
469,6,93,25,85,88,76,22,39,98
470,2,17,89,82,38,53,19,9,12
471,4,38,12,26,73,1,32,79,11
472,4,1,59,14,74,73,61,63,33
473,3,56,21,74,45,94,81,26,41
474,5,22,28,2,80,50,5,33,41
475,5,33,18,1,10,15,68,61,96
476,3,54,56,86,33,7,34,52,100
477,4,60,87,96,32,25,54,42,67
478,5,5,24,7,56,20,68,89,18
479,2,34,94,65,40,74,24,53,60
480,3,1,78,40,95,58,68,13,22
481,5,13,72,18,42,66,89,44,75
482,2,30,68,23,37,26,20,25,81
483,5,78,89,59,40,41,95,94,88
484,4,26,87,19,46,10,88,22,73
485,5,30,3,31,40,73,47,82,18
486,8,11,17,1,60,19,67,62,50
487,3,26,21,71,65,56,31,47,73
488,4,40,7,13,5,1,16,88,35
489,3,16,1,55,38,52,3,54,10
490,3,28,32,13,6,1,88,59,19
491,7,73,81,67,16,9,96,53,88
492,3,95,87,8,59,44,80,75,46
493,3,16,7,40,97,11,1,46,36
494,4,95,33,18,34,27,12,38,24
495,5,56,68,61,1,40,19,84,46
496,4,3,56,42,13,25,66,29,24
497,6,16,10,80,63,3,31,90,26
498,4,45,71,18,23,21,1,96,94
499,2,46,80,60,15,10,28,9,74
500,5,27,30,19,46,1,4,53,45
501,5,21,15,53,3,59,75,25,1
502,2,56,4,21,9,6,52,66,1
503,5,22,91,6,32,61,45,67,17
504,8,1,81,33,75,38,29,39,58
505,2,16,10,30,18,9,19,12,3
506,7,38,17,1,42,10,24,11,45
507,7,47,13,73,16,22,17,4,1
508,2,35,39,53,50,18,24,47,15
509,5,37,25,32,36,6,54,57,4
510,2,82,53,57,1,46,89,60,25
511,5,43,1,46,85,26,37,32,24
512,4,58,4,71,17,78,40,68,10
513,3,64,59,57,1,14,89,18,9
514,3,3,52,26,45,40,87,7,72
515,4,14,3,7,80,19,1,53,38
516,6,17,42,79,81,94,35,13,89
517,3,60,61,1,47,68,26,8,34
518,4,24,18,19,16,53,46,1,10
519,6,24,25,9,54,11,63,10,87
520,3,4,5,45,48,75,31,56,77
521,2,66,68,61,1,45,65,40,85
522,2,32,1,3,61,38,98,11,75
523,4,4,5,51,7,81,17,13,98
524,4,74,1,46,52,12,55,88,87
525,4,19,45,24,98,48,15,23,79
526,4,59,68,74,19,11,31,8,3
527,4,16,39,1,50,82,19,70,11
528,5,68,15,100,7,31,23,88,1
529,5,25,87,47,41,54,61,58,94
530,7,61,52,75,12,33,69,10,53
531,3,45,61,75,2,95,57,3,100
532,5,4,47,75,56,5,54,24,32
533,3,26,74,17,21,24,1,50,51
534,2,14,26,81,95,83,88,61,5
535,7,12,72,4,42,32,95,1,11
536,2,91,1,29,4,11,66,72,26
537,5,23,53,96,1,46,5,4,60
538,5,83,26,12,19,40,1,7,79
539,2,9,59,19,25,49,4,17,33
540,3,31,14,41,4,47,1,5,25
541,5,60,40,86,32,59,1,38,5
542,4,22,53,21,46,98,39,90,3
543,3,53,17,5,3,1,54,68,20
544,5,12,17,16,7,56,80,34,25
545,5,81,79,24,73,95,88,52,7
546,4,80,51,4,42,33,1,60,81
547,7,60,1,33,5,20,4,38,25
548,6,88,89,22,12,85,9,29,67
549,3,1,44,37,19,10,50,26,47
550,2,73,5,1,24,47,40,18,41
551,4,3,19,50,1,32,11,18,75
552,2,35,43,94,46,58,4,12,51
553,2,45,3,35,60,59,19,13,83
554,3,53,11,47,12,51,1,32,10
555,4,10,1,73,60,38,9,39,7
556,6,26,98,33,31,46,53,32,35
557,7,94,16,39,2,68,67,27,78
558,6,18,20,3,94,41,58,21,82
559,7,47,26,4,1,21,38,75,50
560,2,18,25,46,55,41,82,68,94
561,3,20,5,67,31,1,15,44,25
562,5,89,27,11,1,51,64,47,82
563,3,47,74,76,52,68,6,46,56
564,6,82,45,54,20,48,96,18,11
565,4,91,43,66,1,12,74,48,82
566,2,45,11,39,25,82,17,4,24
567,5,1,96,7,76,44,52,39,62
568,7,80,24,95,53,2,99,32,73
569,6,25,31,10,45,19,1,3,32
570,3,11,16,4,43,47,9,25,12
571,4,98,60,19,24,20,17,29,18
572,4,62,97,33,13,81,96,74,68
573,4,19,77,89,11,2,1,71,47
574,5,88,1,31,63,94,4,82,47
575,2,94,10,31,44,38,21,27,26
576,3,81,3,75,68,25,1,24,70
577,4,31,88,18,40,6,52,46,74
578,4,18,1,10,89,17,97,41,52
579,7,11,77,32,47,53,46,5,21
580,8,49,17,32,61,47,4,29,95
581,4,42,71,12,87,45,40,3,8
582,2,20,15,25,12,39,81,24,54
583,7,1,35,23,2,79,20,65,80
584,3,87,19,4,77,75,80,25,83
585,4,3,4,26,14,33,20,67,12
586,4,67,78,39,26,23,32,37,43
587,4,40,8,39,63,37,67,10,49
588,3,51,47,1,26,34,22,88,98
589,4,82,47,31,74,93,9,54,12
590,5,5,67,90,11,97,87,96,1
591,4,55,94,82,56,49,1,15,89
592,5,40,5,14,96,27,94,11,81
593,5,23,96,1,4,89,47,87,25
594,7,1,61,95,54,32,59,58,51
595,2,19,10,34,30,54,69,24,88
596,4,88,82,33,45,29,39,1,60
597,5,81,1,9,16,73,94,39,74
598,2,47,3,18,74,59,39,4,31
599,3,43,11,16,31,3,1,12,83
600,4,15,3,29,1,37,67,19,74
601,6,2,68,96,95,20,92,33,27
602,4,12,5,81,1,34,39,25,10
603,7,1,58,87,98,12,11,67,24
604,5,15,59,33,43,14,52,19,13
605,3,12,87,39,10,80,49,61,74
606,3,12,81,5,66,76,38,85,54
607,3,81,51,95,56,17,19,4,1
608,5,94,81,88,96,4,29,46,61
609,5,94,18,91,66,23,4,1,89
610,2,1,51,82,47,29,16,95,60
611,4,57,73,9,27,45,70,82,18
612,4,1,10,32,18,90,45,68,52
613,7,96,88,25,43,26,53,38,5
614,4,61,25,53,75,28,5,17,11
615,4,58,17,48,1,71,32,14,25
616,4,44,60,19,24,96,94,26,10
617,6,80,4,8,1,18,9,100,11
618,4,2,1,52,47,46,61,51,44
619,3,42,19,95,56,29,5,87,45
620,7,52,26,40,79,2,3,53,94
621,4,1,95,12,24,40,26,25,9
622,4,99,15,81,19,1,87,86,61
623,3,75,19,6,26,88,10,30,39
624,5,1,78,47,26,80,87,79,39
625,5,1,47,19,51,77,93,54,46
626,4,33,31,96,28,89,87,12,15
627,5,3,24,40,81,11,45,19,94
628,6,1,23,83,10,53,97,24,39
629,3,62,9,6,24,3,46,27,68
630,7,95,18,15,45,59,9,33,10
631,3,10,75,17,31,5,46,26,59
632,4,33,66,29,11,26,88,25,80
633,7,10,51,94,26,1,38,54,48
634,3,24,11,17,16,95,23,70,75
635,5,30,84,47,73,46,1,91,67
636,8,80,21,1,39,4,53,19,10
637,3,40,19,12,13,27,26,20,11
638,3,26,16,6,46,1,23,68,27
639,4,30,60,1,12,73,2,39,43
640,3,43,78,25,37,22,56,1,28
641,4,81,52,38,61,28,50,59,68
642,7,73,39,31,29,3,19,1,4
643,4,12,26,74,32,2,67,18,82
644,2,19,1,81,18,59,26,96,11
645,2,10,50,19,26,98,21,59,30
646,6,48,54,13,81,15,14,38,2
647,5,57,16,69,24,96,87,3,18
648,7,38,48,32,5,67,8,77,94
649,5,65,71,52,81,23,4,29,1
650,3,47,9,2,81,1,67,59,19
651,5,46,17,47,68,32,58,82,40
652,4,16,59,14,94,1,7,61,39
653,4,95,1,88,92,33,21,66,74
654,6,10,88,17,59,2,8,14,96
655,4,73,96,4,32,13,5,16,7
656,3,68,7,74,3,46,14,87,22
657,4,48,80,45,23,17,41,82,58
658,2,35,27,81,22,68,4,11,75
659,3,69,91,31,11,68,89,3,10
660,8,54,38,23,58,10,68,5,21
661,7,31,80,17,45,66,47,1,63
662,3,1,18,75,59,46,82,88,11
663,3,6,64,20,87,54,88,96,59
664,4,24,18,10,1,2,39,73,68
665,3,60,34,1,96,6,42,39,19
666,4,48,17,30,5,96,52,35,25
667,2,81,17,52,33,64,32,39,21
668,4,10,61,38,52,34,33,6,67
669,2,61,7,54,10,87,11,4,95
670,4,18,5,50,33,52,80,45,4
671,4,67,17,44,48,42,15,33,58
672,3,44,84,82,46,54,89,81,57
673,4,17,87,38,52,6,90,19,47
674,4,76,26,53,29,89,83,3,54
675,5,61,2,10,64,95,53,38,15
676,4,4,1,88,45,53,96,61,24
677,4,95,1,88,16,14,52,45,83
678,4,32,28,54,26,40,60,9,75
679,5,23,54,1,33,81,31,37,52
680,6,27,32,45,67,82,83,1,66
681,4,61,59,60,10,24,31,39,68
682,4,15,5,63,47,21,10,53,26
683,3,40,4,36,10,68,50,82,51
684,3,26,41,3,5,93,53,74,40
685,3,46,34,82,33,53,27,55,32
686,7,18,33,53,83,4,24,23,88
687,6,1,51,58,33,44,2,4,95
688,3,88,12,74,10,51,73,60,11
689,6,67,68,88,37,1,87,42,10
690,5,38,32,6,48,75,47,10,29
691,2,8,33,54,83,95,81,53,88
692,8,13,5,38,35,19,1,73,81
693,5,8,27,73,74,59,31,1,32
694,2,96,59,56,70,89,1,52,54
